Date_Time,Date,Time,Alfred Place,Birrarung Marr,Bourke St-Russell St (West),Bourke Street Mall (North),Bourke Street Mall (South),Chinatown-Lt Bourke St (South),Chinatown-Swanston St (North),City Square,Collins Place (North),Collins Place (South),Collins St (North),Flagstaff Station,Flinders St-Elizabeth St (East),Flinders St-Spark La,Flinders St-Spring St (West),Flinders St-Swanston St (West),Flinders Street Station Underpass,Grattan St-Swanston St (West),Lonsdale St-Spring St (West),Lonsdale St (South),Lygon St (East),Lygon St (West),Melbourne Central,Melbourne Convention Exhibition Centre,Monash Rd-Swanston St (West),New Quay,Princes Bridge,Queen St (West),QV Market-Elizabeth St (West),QV Market-Peel St,Sandridge Bridge,Southbank,Southern Cross Station,Spencer St-Collins St (North),Spencer St-Collins St (South),St Kilda Rd-Alexandra Gardens,State Library,The Arts Centre,Tin Alley-Swanston St (West),Town Hall (West),Victoria Point,Waterfront City,Webb Bridge
2018-12-31T13:00:00Z,2019-01-01,0,207,2733,1745,918,770,494,633,NA,440,769,1441,NA,NA,802,617,1286,3284,16,539,759,125,192,NA,3658,10,4003,531,775,637,137,701,2802,1830,1867,577,1360,1548,2800,20,3025,1217,1339,762
2018-12-31T14:00:00Z,2019-01-01,1,99,1086,1722,995,635,361,908,NA,192,246,750,NA,NA,374,248,934,2751,49,153,1154,78,141,NA,2122,4,1518,3854,607,719,165,2172,6096,656,1838,416,1896,1494,1746,12,3077,470,352,336
2018-12-31T15:00:00Z,2019-01-01,2,60,571,1113,416,262,304,469,NA,70,83,259,NA,NA,98,67,451,2553,21,50,671,29,54,NA,774,9,363,2234,370,370,72,2217,2711,240,896,222,731,878,940,10,1927,202,100,138
2018-12-31T16:00:00Z,2019-01-01,3,21,208,786,382,194,208,289,NA,30,43,213,NA,NA,59,56,340,1769,8,27,474,29,29,NA,797,7,137,1045,141,256,34,1358,1347,111,686,133,288,309,466,9,998,116,29,95
2018-12-31T17:00:00Z,2019-01-01,4,15,83,405,165,106,149,155,NA,8,43,79,NA,NA,10,18,160,911,4,4,321,9,28,NA,258,NA,60,483,96,197,23,766,544,29,346,87,134,133,109,1,472,31,5,25
2018-12-31T18:00:00Z,2019-01-01,5,31,46,249,117,53,65,93,NA,11,35,56,NA,NA,16,20,104,506,3,14,279,13,18,NA,88,NA,29,267,46,130,15,469,283,30,284,50,63,110,64,3,209,17,1,30
2018-12-31T19:00:00Z,2019-01-01,6,17,48,117,48,55,51,44,NA,22,47,21,NA,NA,17,29,100,360,5,13,82,7,7,NA,91,NA,22,214,22,103,9,244,246,45,285,82,69,42,57,NA,131,27,10,16
2018-12-31T20:00:00Z,2019-01-01,7,31,49,76,47,51,72,73,NA,24,32,83,NA,NA,19,21,129,260,10,22,60,8,14,NA,86,7,42,169,16,96,16,147,292,38,292,70,70,50,84,5,153,9,11,32
2018-12-31T21:00:00Z,2019-01-01,8,46,65,99,86,87,25,113,NA,33,68,73,NA,NA,17,18,182,352,34,23,86,18,36,NA,134,4,90,235,29,163,17,159,446,60,377,70,83,83,124,2,207,15,19,56
2018-12-31T22:00:00Z,2019-01-01,9,116,116,131,253,258,98,82,NA,44,97,219,NA,NA,54,54,319,508,158,65,133,29,64,NA,295,18,181,433,54,260,40,182,893,88,567,127,170,128,268,19,388,28,39,124
2018-12-31T23:00:00Z,2019-01-01,10,112,225,294,956,689,368,302,NA,79,166,427,NA,NA,99,84,497,815,320,81,287,127,119,NA,522,19,365,885,100,399,67,361,1472,109,963,208,282,284,536,15,955,92,59,154
2019-01-01T00:00:00Z,2019-01-01,11,176,291,530,1542,1141,446,471,NA,99,228,575,NA,NA,94,92,603,1272,212,126,372,129,225,NA,862,36,432,1589,129,490,79,525,2326,105,1135,193,562,473,1132,31,1369,79,136,193
2019-01-01T01:00:00Z,2019-01-01,12,100,354,634,2084,1634,656,952,NA,114,225,728,NA,NA,105,104,618,1514,106,150,522,237,277,NA,1130,42,614,2029,148,512,131,484,2706,133,926,241,710,702,1427,22,1887,75,162,250
2019-01-01T02:00:00Z,2019-01-01,13,85,465,802,2324,1723,746,1240,NA,86,248,728,NA,NA,83,120,657,1664,104,161,548,264,360,NA,1220,45,544,2286,78,487,147,548,3100,116,939,194,986,815,1608,18,2198,66,187,277
2019-01-01T03:00:00Z,2019-01-01,14,61,452,802,2677,1831,472,1214,NA,124,194,818,NA,NA,92,82,635,1714,133,153,689,218,501,NA,1457,37,470,2517,115,416,97,629,3212,124,922,183,1076,968,1927,23,2343,36,169,299
2019-01-01T04:00:00Z,2019-01-01,15,135,482,861,2658,2057,368,1207,NA,128,260,832,NA,NA,113,100,635,1844,71,167,665,240,514,NA,1491,39,426,2741,124,442,89,666,3470,119,964,186,1056,1063,1752,25,2430,59,200,287
2019-01-01T05:00:00Z,2019-01-01,16,101,620,882,2819,1989,313,1128,NA,111,233,652,NA,NA,130,100,679,1771,109,129,682,199,422,NA,1285,44,454,2504,96,388,86,634,3153,123,1120,202,1077,1042,1590,21,2348,86,168,280
2019-01-01T06:00:00Z,2019-01-01,17,101,975,963,2587,1727,452,1090,NA,120,194,649,NA,NA,146,106,614,1870,115,167,752,212,452,NA,1222,30,481,2462,116,425,115,818,4259,134,1107,203,1200,1084,1244,28,2239,85,142,258
2019-01-01T07:00:00Z,2019-01-01,18,144,1600,1150,2095,994,659,1260,NA,89,167,433,NA,NA,99,130,600,1648,113,110,761,316,545,NA,1102,49,544,2020,126,473,106,703,5485,220,1066,217,885,997,731,31,1829,78,186,211
2019-01-01T08:00:00Z,2019-01-01,19,82,374,1209,1365,605,740,1079,NA,56,147,371,NA,NA,95,63,544,1411,98,117,788,417,646,NA,475,42,690,1850,109,488,112,661,3205,102,795,144,598,1011,637,19,1500,103,196,155
2019-01-01T09:00:00Z,2019-01-01,20,127,202,1047,954,450,670,1035,NA,40,123,397,NA,NA,64,45,560,1247,55,91,709,407,763,NA,546,34,675,1612,139,419,69,537,3062,81,665,175,502,912,493,26,1283,48,213,124
2019-01-01T10:00:00Z,2019-01-01,21,62,219,976,801,321,536,919,NA,47,82,276,NA,NA,53,36,444,1230,39,106,585,372,746,7359,459,21,502,1567,112,386,72,479,2723,78,499,165,344,592,471,20,992,51,172,147
2019-01-01T11:00:00Z,2019-01-01,22,67,2211,649,411,222,386,550,NA,49,100,221,NA,NA,157,148,371,1110,35,96,495,183,553,26969,220,11,300,1526,106,277,54,551,2249,78,540,149,773,343,601,10,826,35,101,73
2019-01-01T12:00:00Z,2019-01-01,23,32,237,435,165,103,205,340,NA,25,80,118,NA,NA,31,39,264,773,69,33,337,97,270,1847,163,6,147,617,55,191,46,418,1074,66,468,96,159,184,116,4,451,22,48,42
2019-01-01T13:00:00Z,2019-01-02,0,15,35,258,86,43,105,147,NA,9,38,44,NA,NA,17,12,169,279,57,18,183,17,83,NA,62,NA,52,322,21,145,14,122,318,44,224,51,46,61,77,1,196,35,12,20
2019-01-01T14:00:00Z,2019-01-02,1,22,25,163,41,32,72,90,NA,17,16,37,NA,NA,4,4,129,87,33,13,113,17,69,NA,54,NA,46,72,11,86,16,60,82,57,109,39,18,46,41,1,82,72,7,18
2019-01-01T15:00:00Z,2019-01-02,2,5,9,72,52,18,40,44,NA,8,16,11,NA,NA,7,4,56,63,25,5,45,5,21,NA,26,1,3,62,18,43,1,26,44,3,52,11,9,24,45,4,41,8,1,1
2019-01-01T16:00:00Z,2019-01-02,3,6,19,65,18,16,22,31,NA,7,15,15,NA,NA,6,5,28,43,4,5,38,7,11,NA,6,NA,14,83,6,64,2,15,34,11,23,26,9,17,67,NA,20,4,1,3
2019-01-01T17:00:00Z,2019-01-02,4,10,27,44,10,19,34,17,NA,3,13,7,NA,NA,5,6,30,51,16,5,22,10,11,NA,22,NA,3,92,19,42,2,35,24,11,35,17,20,10,91,2,31,5,1,1
2019-01-01T18:00:00Z,2019-01-02,5,12,40,30,31,15,28,12,NA,15,42,23,NA,NA,10,7,53,102,16,14,18,3,10,NA,39,1,11,269,15,34,6,57,78,42,128,32,31,18,288,5,84,2,1,22
2019-01-01T19:00:00Z,2019-01-02,6,43,96,58,70,63,17,9,NA,63,96,66,NA,NA,22,42,231,332,28,50,26,2,9,NA,130,8,51,491,41,65,20,144,319,266,501,136,72,41,474,12,130,41,20,74
2019-01-01T20:00:00Z,2019-01-02,7,168,259,101,181,147,78,83,NA,269,330,261,NA,NA,80,104,613,753,64,145,123,28,32,NA,353,18,150,1354,99,137,35,279,847,916,1290,361,193,149,1316,19,320,161,25,193
2019-01-01T21:00:00Z,2019-01-02,8,386,408,169,501,358,101,141,NA,684,900,419,NA,NA,178,283,1132,1592,211,404,311,63,81,NA,493,55,208,2354,275,340,81,587,1709,1918,2158,670,366,305,2348,46,653,235,42,293
2019-01-01T22:00:00Z,2019-01-02,9,427,242,226,760,663,132,141,NA,445,625,607,NA,NA,156,186,828,1072,209,362,244,95,109,NA,464,49,202,1688,311,399,102,409,1436,1246,1744,452,361,379,1534,57,845,158,40,207
2019-01-01T23:00:00Z,2019-01-02,10,325,228,351,1332,1170,285,296,NA,318,525,1089,NA,NA,118,154,802,1033,336,310,321,127,119,NA,597,59,294,2117,284,593,137,494,1608,500,1524,435,438,438,1798,47,1581,114,47,182
2019-01-02T00:00:00Z,2019-01-02,11,291,375,645,2067,2075,594,570,NA,283,524,1358,NA,NA,72,173,905,1376,376,406,580,192,194,NA,836,131,360,3041,307,719,122,571,2218,389,1330,463,688,771,2856,43,2333,121,81,289
2019-01-02T01:00:00Z,2019-01-02,12,614,463,1173,3215,3211,844,1232,NA,392,970,1847,NA,NA,130,250,1220,1868,388,560,1004,285,274,NA,1102,212,546,3619,494,1001,181,695,3285,858,1784,673,1003,1118,4133,88,3251,204,158,476
2019-01-02T02:00:00Z,2019-01-02,13,603,460,1401,3672,3196,942,1217,NA,448,966,2088,NA,NA,211,280,1227,2040,410,557,1014,345,429,NA,1338,238,585,3588,406,1020,246,657,3490,816,1812,696,1195,1384,2966,97,3580,174,165,452
2019-01-02T03:00:00Z,2019-01-02,14,280,535,1142,3445,2968,640,1170,NA,313,637,1719,NA,NA,172,184,937,2029,283,312,791,283,383,NA,1475,168,528,3497,297,693,191,706,3510,537,1510,494,1150,1416,3521,69,3514,109,186,329
2019-01-02T04:00:00Z,2019-01-02,15,273,485,1230,3589,2905,570,1098,NA,358,513,1655,NA,NA,179,219,1011,2067,214,342,809,277,436,NA,1422,117,416,4347,284,689,187,764,3521,797,1706,423,1233,1430,4252,74,3549,174,111,304
2019-01-02T05:00:00Z,2019-01-02,16,277,513,1402,3392,2696,422,1243,NA,595,549,1555,NA,NA,234,262,1327,2630,354,330,855,173,427,NA,1453,201,440,4228,293,808,216,944,3678,1689,2435,533,1219,1617,3276,96,3345,323,133,410
2019-01-02T06:00:00Z,2019-01-02,17,389,645,1320,3363,2516,588,1150,NA,731,664,1277,NA,NA,247,339,1616,2998,220,401,944,216,418,NA,1461,195,487,4580,353,1019,224,1123,4232,1618,2671,640,1372,1666,3374,93,3045,359,123,463
2019-01-02T07:00:00Z,2019-01-02,18,206,422,1258,2783,1726,760,1238,NA,304,346,750,NA,NA,165,162,866,1909,162,237,919,308,506,NA,1063,108,451,3290,215,1128,276,763,3210,539,1611,314,908,1444,2441,56,2435,199,147,306
2019-01-02T08:00:00Z,2019-01-02,19,207,271,1243,1993,904,783,1162,NA,115,227,504,NA,NA,104,111,629,1491,130,174,866,324,584,NA,505,71,601,2474,142,1263,318,561,3109,241,947,239,646,1221,1740,40,1832,98,167,160
2019-01-02T09:00:00Z,2019-01-02,20,92,219,1059,1343,549,754,1122,NA,98,227,378,NA,NA,117,84,422,1291,105,117,680,319,757,NA,468,36,664,1954,148,1135,305,475,3033,163,619,150,394,896,870,38,1433,75,201,128
2019-01-02T10:00:00Z,2019-01-02,21,112,122,929,873,384,714,898,NA,89,161,281,NA,NA,101,82,413,1361,72,116,598,283,699,NA,481,23,440,1879,109,898,253,494,2542,99,650,136,283,748,1153,29,1069,67,144,140
2019-01-02T11:00:00Z,2019-01-02,22,48,99,642,500,170,473,552,NA,50,89,209,NA,NA,66,102,364,1081,48,119,464,187,521,NA,227,11,261,1625,111,675,131,419,1664,125,579,147,190,440,809,14,753,32,87,109
2019-01-02T12:00:00Z,2019-01-02,23,26,52,545,200,101,192,385,NA,40,67,127,NA,NA,38,57,227,611,23,50,274,52,286,NA,105,4,139,763,52,210,63,283,781,38,351,87,94,237,351,3,414,14,30,37
2019-01-02T13:00:00Z,2019-01-03,0,15,72,289,88,53,95,168,NA,14,26,54,NA,NA,7,29,111,304,23,35,259,25,100,NA,54,2,42,322,27,112,28,134,320,21,163,32,35,88,189,6,196,5,24,26
2019-01-02T14:00:00Z,2019-01-03,1,2,37,214,72,41,81,105,NA,8,14,22,NA,NA,10,1,61,102,7,7,141,12,72,NA,37,1,21,95,19,129,14,26,154,13,47,28,36,60,48,1,75,4,10,9
2019-01-02T15:00:00Z,2019-01-03,2,3,26,133,25,17,61,42,NA,5,10,13,NA,NA,8,8,38,50,11,14,85,6,7,NA,33,3,13,54,5,88,9,20,43,7,34,19,9,29,57,4,52,2,3,13
2019-01-02T16:00:00Z,2019-01-03,3,16,11,43,31,12,9,29,NA,3,6,10,NA,NA,3,5,18,47,5,12,39,3,1,NA,10,1,9,69,9,41,8,16,28,12,14,8,6,34,78,1,28,3,4,3
